Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Concurrent validity of smartphone-based markerless motion capturing to quantify lower-limb joint kinematics in healthy and pathological gait.","Smartphone-based markerless motion capture systems show potential for assessing gait kinematics, but require further improvements in deep learning algorithms for clinical use.","B. Horsak, Anna Eichmann, Kerstin Lauer, Kerstin Prock, P. Krondorfer, Tarique Siragy, B. Dumphart",2023,74,"","other","Journal of biomechanics","1","10.1016/j.jbiomech.2023.111801","https://consensus.app/papers/concurrent-validity-of-smartphonebased-markerless-horsak-eichmann/e9c6da483a905903af8e7053f53a999e/"
"Validating Single-Camera Pose Estimation Against Multi-Camera Motion Capture for Accessible Biomechanical Assessment","","Aniket Pratapneni, Ryan Halvorson, P. Silvestros, Nicholas Harris, Jeannie Bailey",2026,0,"","other","IEEE access : practical innovations, open solutions","1","10.1109/access.2026.3687207","https://consensus.app/papers/validating-singlecamera-pose-estimation-against-pratapneni-halvorson/37ceb9d8a3ea5aeaad215db374e1f570/"
"Advanced Home-Based Shoulder Rehabilitation: A Systematic Review of Remote Monitoring Devices and Their Therapeutic Efficacy","Wearable systems and low-cost visual tracking devices show promise as remote monitoring technologies for home-based shoulder rehabilitation, offering broader access and potentially reducing healthcare costs.","Martina Sassi, Mariajose Villa Corta, Matteo Giuseppe Pisani, Guido Nicodemi, E. Schena, Leandro Pecchia, U. Longo",2024,18,"Shoulder pain represents the most frequently reported musculoskeletal disorder, often leading to significant functional impairment and pain, impacting quality of life. Home-based rehabilitation programs offer a more accessible and convenient solution for an effective shoulder disorder treatment, addressing logistical and financial constraints associated with traditional physiotherapy. The aim of this systematic review is to report the monitoring devices currently proposed and tested for shoulder rehabilitation in home settings. The research question was formulated using the PICO approach, and the PRISMA guidelines were applied to ensure a transparent methodology for the systematic review process. A comprehensive search of PubMed and Scopus was conducted, and the results were included from 2014 up to 2023. Three different tools (i.e., the Rob 2 version of the Cochrane risk-of-bias tool, the Joanna Briggs Institute (JBI) Critical Appraisal tool, and the ROBINS-I tool) were used to assess the risk of bias. Fifteen studies were included as they fulfilled the inclusion criteria. The results showed that wearable systems represent a promising solution as remote monitoring technologies, offering quantitative and clinically meaningful insights into the progress of individuals within a rehabilitation pathway. Recent trends indicate a growing use of low-cost, non-intrusive visual tracking devices, such as camera-based monitoring systems, within the domain of tele-rehabilitation. The integration of home-based monitoring devices alongside traditional rehabilitation methods is acquiring significant attention, offering broader access to high-quality care, and potentially reducing healthcare costs associated with in-person therapy.","systematic review","Sensors (Basel, Switzerland)","1","10.3390/s24092936","https://consensus.app/papers/advanced-homebased-shoulder-rehabilitation-a-systematic-sassi-corta/1c5729469cc75a3bad4e0d66208f2b8d/"
"Musculoskeletal Digital Therapeutics and Digital Health Rehabilitation: A Global Paradigm Shift in Orthopedic Care","Digital therapeutics show potential in improving functional outcomes, adherence, and cost-effectiveness in orthopedic care, but long-term effectiveness and large-scale clinical integration require further investigation.","Youn Kyu Lee, Eun-Ji Yoon, Tae Hyung Kim, Jong-Ick Kim, Jong-Ho Kim",2025,8,"Musculoskeletal disorders (MSDs) affect over 1.7 billion people globally and represent the leading cause of disability worldwide. Conventional rehabilitation strategies face challenges including limited accessibility, suboptimal adherence, and lack of personalization. Digital therapeutics (DTx)-evidence-based, software-driven interventions regulated as medical devices-have emerged as transformative solutions in chronic disease management. This review provides a narrative synthesis of representative studies in the field, drawing on a broad survey of literature from medical and engineering sources to capture current trends and clinically relevant developments. Seventy-five publications were examined, including clinical trials and validation studies, many of which reported outcomes comparable or superior to traditional rehabilitation approaches, with adherence gains of 15-40% and cost reductions of approximately 30-40%. We summarize the major technological foundations of musculoskeletal DTx and digital rehabilitation across orthopedic subspecialties, describing core-enabling technologies including artificial intelligence-driven motion analysis, wearable sensors, tele-rehabilitation platforms, and cloud-based ecosystems. Clinical applications spanning spine, upper and lower extremities, sports injuries, and trauma were analyzed alongside global regulatory frameworks, economic considerations, and implementation challenges. Early clinical evidence demonstrates improvements in functional outcomes, adherence, and cost-effectiveness. Future directions include digital twin-based precision rehabilitation, predictive analytics, and scalable integration into value-based orthopedic care. By establishing a comprehensive framework for musculoskeletal DTx implementation, this review highlights their potential to improve outcomes, reduce healthcare costs, and address global rehabilitation access gaps. However, evidence on long-term effectiveness, sustained cost benefits, and large-scale clinical integration remains limited and warrants further investigation.","literature review","Journal of Clinical Medicine","1","10.3390/jcm14238467","https://consensus.app/papers/musculoskeletal-digital-therapeutics-and-digital-health-lee-yoon/8d401b4732bf5fa48f392cc707fa9cd9/"
"The Role and Importance of Using Sensor-Based Devices in Medical Rehabilitation: A Literature Review on the New Therapeutic Approaches","Sensor-based devices in medical rehabilitation can enhance patient recovery by rehabilitating missing components and adapting to evolving technology.","D. Szabo, N. Neagu, Silvia Teodorescu, Mihaela Apostu, C. Predescu, C. Pârvu, Cristina Veres",2023,23,"Due to the growth of sensor technology, more affordable integrated circuits, and connectivity technologies, the usage of wearable equipment and sensing devices for monitoring physical activities, whether for wellness, sports monitoring, or medical rehabilitation, has exploded. The current literature review was performed between October 2022 and February 2023 using PubMed, Web of Science, and Scopus in accordance with P.R.I.S.M.A. criteria. The screening phase resulted in the exclusion of 69 articles that did not fit the themes developed in all subchapters of the study, 41 articles that dealt exclusively with rehabilitation and orthopaedics, 28 articles whose abstracts were not visible, and 10 articles that dealt exclusively with other sensor-based devices and not medical ones; the inclusion phase resulted in the inclusion of 111 articles. Patients who utilise sensor-based devices have several advantages due to rehabilitating a missing component, which marks the accomplishment of a fundamental goal within the rehabilitation program. As technology moves faster and faster forward, the field of medical rehabilitation has to adapt to the time we live in by using technology and intelligent devices. This means changing every part of rehabilitation and finding the most valuable and helpful gadgets that can be used to regain lost functions, keep people healthy, or prevent diseases.","systematic review","Sensors (Basel, Switzerland)","1","10.3390/s23218950","https://consensus.app/papers/the-role-and-importance-of-using-sensorbased-devices-in-szabo-neagu/be68c0f423ed59109711c659f4f29010/"
"Wearable Movement Sensors for Rehabilitation: A Focused Review of Technological and Clinical Advances","Wearable movement sensors show promise in enhancing rehabilitation care for patients with neurologic or musculoskeletal conditions, potentially leading to personalized medicine.","Franchino Porciuncula, Anna V Roto, Deepak Kumar, I. Davis, Serge Roy, C. Walsh, L. Awad",2018,262,"","","PM & R : the journal of injury, function, and rehabilitation","","10.1016/j.pmrj.2018.06.013","https://consensus.app/papers/wearable-movement-sensors-for-rehabilitation-a-focused-porciuncula-roto/56404085373d5690ba60542f37b660dd/"
"Remote Follow-Up Using Smartphone Apps, Telemedicine, and Wearable Activity Sensors After Joint Replacement: A Narrative Review","Remote follow-up using apps and wearables after joint replacement improves patient engagement, adherence, pain management, and functional recovery, with potential for cost-savings and reduced in-person visits.","Ali Soffar, Ahmed Elkohail, Abdelrahman Sayed, Mohamed Elbanna, Kerementi Othieno-P’otonya, Mohammad Monir, Hassan A Kassem, A. Abdellatif",2025,3,"Digital health tools such as smartphone applications, telemedicine platforms, wearable activity sensors, and emerging smart implants are positively influencing postoperative follow-up after joint replacement. This narrative review synthesizes recent advances and evidence across these modalities. Smartphone apps consistently improve patient engagement, adherence, pain management, and functional recovery, while enabling scalable data capture. Wearables provide objective, continuous measures of mobility and range of motion and have shown acceptable accuracy in arthroplasty populations. Combined app-plus-sensor programs, including self-directed rehabilitation, achieve clinical outcomes comparable to standard care in randomized trials and can reduce costs and in-person visits. Telemedicine and home-based telerehabilitation demonstrate noninferiority to face-to-face physiotherapy for total joint arthroplasty, with high patient satisfaction and logistical advantages. Smart implants, though earlier in clinical adoption, yield unique biomechanical insights that may personalize rehabilitation and enable early detection of complications. Key challenges include heterogeneous study designs and metrics, device placement-dependent accuracy, digital literacy and connectivity barriers (especially among older adults or rural patients), data security and regulatory considerations, and technical constraints for implant power and wireless communication. Overall, remote follow-up using apps and wearables is a credible adjunct, or alternative, to conventional pathways after joint replacement; scaling impact will require standardized outcomes, interoperability, robust privacy safeguards, and prospective trials that link digital signals to meaningful clinical endpoints.

Copyright © 2025, Soffar et al.","literature review","Cureus","","10.7759/cureus.96693","https://consensus.app/papers/remote-followup-using-smartphone-apps-telemedicine-and-soffar-elkohail/9cd98b1630cd5d0a8db6b74fdafa31dd/"
"EVALUATING THE RELIABILITY OF MARKERLESS MOTION CAPTURE FOR JOINT ANGLE ESTIMATION IN A CLINICAL HALLWAY SETTING COMPARED TO A TRADITIONAL LABORATORY SETTING","Markerless motion capture in constrained clinical spaces provides accurate joint angle estimates, supporting its integration into clinical workflows and enhancing gait assessment accessibility.","M. Ruder, M. Malek, F. Gafoor, V. D. Di Bacco, J. Outerleys, E. Laende",2026,0,"Gait analysis plays a vital role in clinical care by aiding in the diagnosis, treatment planning, and rehabilitation evaluation of movement disorders. Traditional marker-based motion capture systems, however, are hindered by time-consuming setup procedures, high costs, and significant space requirements, limiting their widespread adoption in clinical settings. Recent advances in markerless motion capture technology offer a promising alternative by eliminating the need for markers and extensive setup time. While these systems have demonstrated comparable kinematic data to traditional setups in laboratory environments their validity and reliability in constrained clinical spaces remain underexplored. Space limitations, such as narrow hallways common in clinical settings, could impact the accuracy of markerless motion capture data.
 The purpose of this study was to evaluate the validity and reliability of a markerless motion capture system implemented within a clinical hallway compared to a laboratory-based setup when estimating joint angles during clinical movement assessments among healthy adults. We analysed data from participants performing quiet standing, walking, and sit-to-stand activities in both environments on the same day. We hypothesized that there would be minimal differences between the data obtained from the constrained clinical hallway setup and the traditional laboratory-based setup, and that the reliability of measurements would remain high across both settings.
 Twenty-five healthy adults (34 ± 16 years, 15F) participated, reporting no clinical gait conditions and confirming a pain score ≤ three on a visual analog scale. Two camera setups were employed: an eight-camera laboratory configuration and a 10-camera constrained clinical hallway arrangement, both using Sony RX0 II cameras. The laboratory setup featured a circular layout with cameras spaced 2.7m apart along a 5.4m runway. The clinical setup used a 7.6m curved hallway, with cameras mounted on walls/ceilings to maximize visibility despite limited space. Each participant completed three tasks—quiet standing (30s), 60s self-paced walking, and five repetitions of sit-to-stand—twice at each site. The order of sites was counterbalanced, and tasks were performed on the same day, without guidance on clothing, to simulate clinical conditions. Video data were processed in Theia3D, using a generalized cross-validatory spline filter (8 Hz cutoff) and a six-degree-of-freedom knee model. Kinematic data was analysed in Visual3D, with comparisons made using Bland-Altman plots, Pearson correlations, and intraclass correlation coefficients (ICC(2, k)), evaluating both within-site and between-site reliability.
 The constrained clinical setup demonstrated high validity for joint angle estimates across tasks, with Pearson correlations >0.85 and RMSE < 2.33° for gait waveforms, except for hip flexion (2.33°). ICC values were excellent (≥0.85) for both within-site and between-site comparisons. Minimal differences were observed in discrete stance measures, with mean errors < 1.06° and limits of agreement < 5 °. Sit-to-stand results indicated higher variability, with wide limits of agreement (12–20°), consistent with previous findings in functional tasks. Markerless motion capture in constrained clinical spaces provides joint kinematics comparable to laboratory settings, supporting its potential integration into clinical workflows. This approach could enhance gait assessment accessibility by utilizing existing clinical spaces.","other","Orthopaedic Proceedings","","10.1302/1358-992x.2026.2.028","https://consensus.app/papers/evaluating-the-reliability-of-markerless-motion-capture-ruder-malek/5b1d256058dd5c90a78d644289464e1c/"
"Validity and reliability of single camera markerless motion capture systems with RGB-D sensors for measuring shoulder range-of-motion: a systematic review","Single-camera markerless motion capture systems with RGB-D sensors show promise for measuring shoulder range-of-motion, particularly in simple movements like flexion and abduction, but complex movements and inconsistencies limit their immediate clinical applicability.","Unhyung Lee, Sujik Lee, Sung-A Kim, Yohwan Kim, Seunghoon Lee",2025,5,"Introduction: Assessing shoulder joint range-of-motion (ROM) is crucial for evaluating shoulder mobility but remains challenging due to its complexity. This review examined the potential of single-camera markerless motion capture systems with an RGB-depth (RGB-D) sensor for shoulder ROM measurements, focusing on their reliability and validity.

Methods: We systematically searched nine databases through December 2022 for studies that evaluated the reliability and validity of single-camera markerless motion-capture systems in measuring simple (one-directional) and complex (multi-directional) shoulder movements. We extracted data on participant characteristics, device details, and measurement outcomes, and then assessed the methodological quality using the Consensus-Based Standards for the Selection of Health.

Results: Of the 2,976 articles identified, 14 were included in this review. The findings indicate that intra-rater reliability findings across six studies were inconsistent, with simple movements like abduction and flexion demonstrating better reliability and less heterogeneity compared to complex movements. Validity assessments across 12 studies also showed inconsistency, with abduction and flexion measurements exhibiting higher validity than rotational movements. Studies focusing on simple movements reported good to excellent validity, particularly for abduction and flexion. Quality assessments using the COSMIN checklist revealed that the methodological quality varied across studies, ranging from inadequate to very good.

Discussion: This systematic review suggests that RGB-D sensors show promise for measuring shoulder joint ROM, especially in simple movements like flexion and abduction. However, complex movements and inconsistencies limit their immediate clinical applicability, necessitating further high-quality research with advanced devices to ensure accurate and reliable assessments.

Copyright © 2025 Lee, Lee, Kim, Kim and Lee.","systematic review","Frontiers in Bioengineering and Biotechnology","1","10.3389/fbioe.2025.1570637","https://consensus.app/papers/validity-and-reliability-of-single-camera-markerless-lee-lee/e51cfeae42e55f46870aa809f98c26e8/"
"Trends and Innovations in Wearable Technology for Motor Rehabilitation, Prediction, and Monitoring: A Comprehensive Review","Wearable technology can enhance upper-limb physiotherapy by monitoring and predicting symptoms related to upper-limb pathologies.","Pedro Lobo, Pedro Morais, Patrick Murray, João L. Vilaça",2024,24,"(1) Background: Continuous health promotion systems are increasingly important, enabling decentralized patient care, providing comfort, and reducing congestion in healthcare facilities. These systems allow for treatment beyond clinical settings and support preventive monitoring. Wearable systems have become essential tools for health monitoring, but they focus mainly on physiological data, overlooking motor data evaluation. The World Health Organization reports that 1.71 billion people globally suffer from musculoskeletal conditions, marked by pain and limited mobility. (2) Methods: To gain a deeper understanding of wearables for the motor rehabilitation, monitoring, and prediction of the progression and/or degradation of symptoms directly associated with upper-limb pathologies, this study was conducted. Thus, all articles indexed in the Web of Science database containing the terms ""wearable"", ""upper limb"", and (""rehabilitation"" or ""monitor"" or ""predict"") between 2019 and 2023 were flagged for analysis. (3) Results: Out of 391 papers identified, 148 were included and analyzed, exploring pathologies, technologies, and their interrelationships. Technologies were categorized by typology and primary purpose. (4) Conclusions: The study identified essential sensory units and actuators in wearable systems for upper-limb physiotherapy and analyzed them based on treatment methods and targeted pathologies.","systematic review","Sensors (Basel, Switzerland)","1","10.3390/s24247973","https://consensus.app/papers/trends-and-innovations-in-wearable-technology-for-motor-lobo-morais/dff2080df9f355dcabc745cde200599c/"
